## ==== necessary ====
## .map file, put your maps in /map folder
map_file=random-32-32-20.map
## map_file=den520d.map

## number of agents
agents=140

## ==== custom =======
## seed of randomization
seed=6

## true  -> random starts/goals
## false -> use custom starts/goals
random_problem=1

## timestep limit
max_timestep=1000

## computation time limit, ms
max_comp_time=60000

## custom starts/goals
## invalid when random_problem=1 or scen_file exists
## (x_s, y_s, x_g, y_g)
## (0, 0): left-top corner
# 0,0,4,0


18,22,21,9
19,11,4,20
2,21,25,3
24,11,26,26
25,14,11,3
12,24,1,29
8,4,3,24
21,4,22,12
22,0,27,11
1,14,16,12
4,27,13,7
18,25,12,23
25,17,20,19
31,13,19,0
11,27,25,5
27,13,22,9
7,13,6,10
16,27,15,25
9,24,7,6
