## ==== necessary ====
## .map file, put your maps in /map folder
map_file=warehouse-10-20-10-2-1.map
## map_file=den520d.map

## number of agents
agents=80

## ==== custom =======
## seed of randomization
seed=6

## true  -> random starts/goals
## false -> use custom starts/goals
random_problem=1

## timestep limit
max_timestep=1000

## computation time limit, ms
max_comp_time=60000

## custom starts/goals
## invalid when random_problem=1 or scen_file exists
## (x_s, y_s, x_g, y_g)
## (0, 0): left-top corner
# 0,0,4,0


148,55,15,24
122,52,73,61
55,49,58,30
44,22,61,16
98,46,103,7
73,49,111,61
141,59,157,13
5,4,4,27
36,21,44,31
147,50,70,4
116,40,74,31
87,49,31,10
53,37,153,43
93,31,68,37
97,43,14,59
4,41,69,11
95,10,115,7
149,48,2,28
113,51,113,39
