agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,den520d.map,PIBT,1,4340,4331,374,374,125,4,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,4331,374,374,80,256,den520d-random-17.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,80,0,den520d-random-17.scen
20,den520d.map,PIBT,1,4527,4331,374,374,173,4,den520d-random-2.scen
20,den520d.map,PIBT,1,4529,4331,374,374,70,256,den520d-random-2.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,79,0,den520d-random-2.scen
20,den520d.map,PIBT,1,4527,4331,374,374,76,4,den520d-random-10.scen
20,den520d.map,PIBT,1,4529,4331,374,374,111,256,den520d-random-10.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,97,0,den520d-random-10.scen
20,den520d.map,PIBT,1,4527,4331,374,374,71,4,den520d-random-13.scen
20,den520d.map,PIBT,1,4334,4331,374,374,104,256,den520d-random-13.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,93,0,den520d-random-13.scen
20,den520d.map,PIBT,1,4527,4331,374,374,83,4,den520d-random-12.scen
20,den520d.map,PIBT,1,4334,4331,374,374,91,256,den520d-random-12.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,58,0,den520d-random-12.scen
20,den520d.map,PIBT,1,4527,4331,374,374,97,4,den520d-random-18.scen
20,den520d.map,PIBT,1,4529,4331,374,374,75,256,den520d-random-18.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,110,0,den520d-random-18.scen
20,den520d.map,PIBT,1,4531,4331,374,374,100,4,den520d-random-21.scen
20,den520d.map,PIBT,1,4529,4331,374,374,72,256,den520d-random-21.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,99,0,den520d-random-21.scen
20,den520d.map,PIBT,1,4340,4331,374,374,94,4,den520d-random-20.scen
20,den520d.map,PIBT,1,4529,4331,374,374,111,256,den520d-random-20.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,115,0,den520d-random-20.scen
20,den520d.map,PIBT,1,4527,4331,374,374,158,4,den520d-random-23.scen
20,den520d.map,PIBT,1,4334,4331,374,374,123,256,den520d-random-23.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,173,0,den520d-random-23.scen
20,den520d.map,PIBT,1,4340,4331,374,374,106,4,den520d-random-7.scen
20,den520d.map,PIBT,1,4529,4331,374,374,166,256,den520d-random-7.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,104,0,den520d-random-7.scen
20,den520d.map,PIBT,1,4527,4331,374,374,87,4,den520d-random-9.scen
20,den520d.map,PIBT,1,4529,4331,374,374,112,256,den520d-random-9.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,80,0,den520d-random-9.scen
20,den520d.map,PIBT,1,4533,4331,374,374,105,4,den520d-random-4.scen
20,den520d.map,PIBT,1,4529,4331,374,374,83,256,den520d-random-4.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,117,0,den520d-random-4.scen
20,den520d.map,PIBT,1,4535,4331,374,374,107,4,den520d-random-5.scen
20,den520d.map,PIBT,1,4529,4331,374,374,93,256,den520d-random-5.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,87,0,den520d-random-5.scen
20,den520d.map,PIBT,1,4527,4331,374,374,82,4,den520d-random-16.scen
20,den520d.map,PIBT,1,4529,4331,374,374,99,256,den520d-random-16.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,83,0,den520d-random-16.scen
20,den520d.map,PIBT,1,4531,4331,374,374,71,4,den520d-random-14.scen
20,den520d.map,PIBT,1,4529,4331,374,374,95,256,den520d-random-14.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,67,0,den520d-random-14.scen
20,den520d.map,PIBT,1,4340,4331,374,374,56,4,den520d-random-25.scen
20,den520d.map,PIBT,1,4529,4331,374,374,72,256,den520d-random-25.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,65,0,den520d-random-25.scen
20,den520d.map,PIBT,1,4527,4331,374,374,46,4,den520d-random-6.scen
20,den520d.map,PIBT,1,4529,4331,374,374,78,256,den520d-random-6.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,110,0,den520d-random-6.scen
