agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
20,random-32-32-20.map,PIBT,1,577,42,0,0,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,0,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,42,0,10,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,10,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,42,0,100,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,100,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,42,0,1000,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBTOLD,1,577,42,0,1000,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBT,1,1711,48,2,0,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,0,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,10,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,2,10,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,100,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,100,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBT,1,1751,49,2,1000,random-32-32-20-random-3.scen
60,random-32-32-20.map,PIBTOLD,1,1711,48,1,1000,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBT,1,3446,54,3,0,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,2,0,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBT,1,3292,56,10,1,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBT,0,3115,100000,4372,10,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,10,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4399,100,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,2,100,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBT,0,3117,100000,4399,1000,random-32-32-20-random-3.scen
100,random-32-32-20.map,PIBTOLD,1,3446,54,3,1000,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,1,5501,71,6,0,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,0,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5309,100000,6314,1,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,1,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5062,100000,6784,10,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,10,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5202,100000,7903,100,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,100,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5232,100000,26350,1000,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBTOLD,1,5501,71,4,1000,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBT,0,407441,100000,7510,0,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4685,0,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBT,0,6985,100000,9703,1,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4619,1,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBT,0,7363,100000,8364,10,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4573,10,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBT,0,6840,100000,10312,100,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4567,100,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBT,0,7199,100000,37723,1000,random-32-32-20-random-3.scen
180,random-32-32-20.map,PIBTOLD,0,407441,100000,4581,1000,random-32-32-20-random-3.scen
220,random-32-32-20.map,PIBT,0,210083,100000,9571,0,random-32-32-20-random-3.scen
220,random-32-32-20.map,PIBTOLD,0,210083,100000,5386,0,random-32-32-20-random-3.scen
