agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
20,den520d.map,PIBT,1,4336,374,15,0,den520d-random-17.scen
20,den520d.map,PIBTOLD,1,4336,374,17,0,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,374,14,1,den520d-random-17.scen
20,den520d.map,PIBTOLD,1,4336,374,15,1,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,374,16,10,den520d-random-17.scen
20,den520d.map,PIBTOLD,1,4336,374,18,10,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,374,16,100,den520d-random-17.scen
20,den520d.map,PIBTOLD,1,4336,374,16,100,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,374,13,1000,den520d-random-17.scen
20,den520d.map,PIBTOLD,1,4336,374,17,1000,den520d-random-17.scen
60,den520d.map,PIBT,1,11347,374,40,0,den520d-random-17.scen
60,den520d.map,PIBTOLD,1,11347,374,43,0,den520d-random-17.scen
60,den520d.map,PIBT,1,11591,374,45,1,den520d-random-17.scen
60,den520d.map,PIBTOLD,1,11347,374,45,1,den520d-random-17.scen
60,den520d.map,PIBT,1,11591,374,46,10,den520d-random-17.scen
60,den520d.map,PIBTOLD,1,11347,374,45,10,den520d-random-17.scen
60,den520d.map,PIBT,1,11591,374,46,100,den520d-random-17.scen
60,den520d.map,PIBTOLD,1,11347,374,40,100,den520d-random-17.scen
60,den520d.map,PIBT,1,11591,374,43,1000,den520d-random-17.scen
60,den520d.map,PIBTOLD,1,11347,374,40,1000,den520d-random-17.scen
100,den520d.map,PIBT,1,18713,375,77,0,den520d-random-17.scen
100,den520d.map,PIBTOLD,1,18713,375,66,0,den520d-random-17.scen
100,den520d.map,PIBT,1,18911,375,79,1,den520d-random-17.scen
100,den520d.map,PIBTOLD,1,18713,375,72,1,den520d-random-17.scen
100,den520d.map,PIBT,1,18911,375,74,10,den520d-random-17.scen
100,den520d.map,PIBTOLD,1,18713,375,59,10,den520d-random-17.scen
100,den520d.map,PIBT,1,18911,375,71,100,den520d-random-17.scen
100,den520d.map,PIBTOLD,1,18713,375,70,100,den520d-random-17.scen
100,den520d.map,PIBT,1,18911,375,70,1000,den520d-random-17.scen
100,den520d.map,PIBTOLD,1,18713,375,69,1000,den520d-random-17.scen
140,den520d.map,PIBT,1,26667,394,100,0,den520d-random-17.scen
140,den520d.map,PIBTOLD,1,26667,394,92,0,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,394,109,1,den520d-random-17.scen
140,den520d.map,PIBTOLD,1,26667,394,97,1,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,394,110,10,den520d-random-17.scen
140,den520d.map,PIBTOLD,1,26667,394,94,10,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,394,103,100,den520d-random-17.scen
140,den520d.map,PIBTOLD,1,26667,394,94,100,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,394,102,1000,den520d-random-17.scen
140,den520d.map,PIBTOLD,1,26667,394,97,1000,den520d-random-17.scen
180,den520d.map,PIBT,1,35887,404,131,0,den520d-random-17.scen
180,den520d.map,PIBTOLD,1,35887,404,130,0,den520d-random-17.scen
180,den520d.map,PIBT,1,35960,404,136,1,den520d-random-17.scen
180,den520d.map,PIBTOLD,1,35887,404,120,1,den520d-random-17.scen
180,den520d.map,PIBT,1,35960,404,137,10,den520d-random-17.scen
180,den520d.map,PIBTOLD,1,35887,404,111,10,den520d-random-17.scen
180,den520d.map,PIBT,1,35960,404,143,100,den520d-random-17.scen
180,den520d.map,PIBTOLD,1,35887,404,124,100,den520d-random-17.scen
180,den520d.map,PIBT,1,35960,404,141,1000,den520d-random-17.scen
180,den520d.map,PIBTOLD,1,35887,404,126,1000,den520d-random-17.scen
220,den520d.map,PIBT,1,44984,404,167,0,den520d-random-17.scen
220,den520d.map,PIBTOLD,1,44984,404,154,0,den520d-random-17.scen
220,den520d.map,PIBT,1,44378,404,169,1,den520d-random-17.scen
220,den520d.map,PIBTOLD,1,44984,404,157,1,den520d-random-17.scen
220,den520d.map,PIBT,1,44378,404,172,10,den520d-random-17.scen
220,den520d.map,PIBTOLD,1,44984,404,137,10,den520d-random-17.scen
220,den520d.map,PIBT,1,44378,404,169,100,den520d-random-17.scen
220,den520d.map,PIBTOLD,1,44984,404,145,100,den520d-random-17.scen
220,den520d.map,PIBT,1,44378,404,149,1000,den520d-random-17.scen
220,den520d.map,PIBTOLD,1,44984,404,149,1000,den520d-random-17.scen
260,den520d.map,PIBT,1,53957,404,190,0,den520d-random-17.scen
260,den520d.map,PIBTOLD,1,53957,404,181,0,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,404,206,1,den520d-random-17.scen
260,den520d.map,PIBTOLD,1,53957,404,178,1,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,404,205,10,den520d-random-17.scen
260,den520d.map,PIBTOLD,1,53957,404,191,10,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,404,205,100,den520d-random-17.scen
260,den520d.map,PIBTOLD,1,53957,404,170,100,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,404,199,1000,den520d-random-17.scen
260,den520d.map,PIBTOLD,1,53957,404,178,1000,den520d-random-17.scen
300,den520d.map,PIBT,1,62232,404,238,0,den520d-random-17.scen
300,den520d.map,PIBTOLD,1,62232,404,214,0,den520d-random-17.scen
300,den520d.map,PIBT,1,62212,404,240,1,den520d-random-17.scen
300,den520d.map,PIBTOLD,1,62232,404,203,1,den520d-random-17.scen
300,den520d.map,PIBT,1,62153,404,247,10,den520d-random-17.scen
300,den520d.map,PIBTOLD,1,62232,404,211,10,den520d-random-17.scen
300,den520d.map,PIBT,1,62153,404,250,100,den520d-random-17.scen
300,den520d.map,PIBTOLD,1,62232,404,208,100,den520d-random-17.scen
300,den520d.map,PIBT,1,62153,404,240,1000,den520d-random-17.scen
300,den520d.map,PIBTOLD,1,62232,404,207,1000,den520d-random-17.scen
340,den520d.map,PIBT,1,71562,404,282,0,den520d-random-17.scen
340,den520d.map,PIBTOLD,1,71562,404,233,0,den520d-random-17.scen
340,den520d.map,PIBT,1,70523,404,287,1,den520d-random-17.scen
340,den520d.map,PIBTOLD,1,71562,404,232,1,den520d-random-17.scen
340,den520d.map,PIBT,1,70601,408,282,10,den520d-random-17.scen
340,den520d.map,PIBTOLD,1,71562,404,248,10,den520d-random-17.scen
340,den520d.map,PIBT,1,70601,408,284,100,den520d-random-17.scen
340,den520d.map,PIBTOLD,1,71562,404,240,100,den520d-random-17.scen
340,den520d.map,PIBT,1,70601,408,278,1000,den520d-random-17.scen
