agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
20,ht_chantry.map,PIBT,1,1706,178,5,0,ht_chantry-random-5.scen
20,ht_chantry.map,PIBTOLD,1,1706,178,4,0,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,178,5,1,ht_chantry-random-5.scen
20,ht_chantry.map,PIBTOLD,1,1706,178,4,1,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,178,6,10,ht_chantry-random-5.scen
20,ht_chantry.map,PIBTOLD,1,1706,178,5,10,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,178,5,100,ht_chantry-random-5.scen
20,ht_chantry.map,PIBTOLD,1,1706,178,5,100,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,178,5,1000,ht_chantry-random-5.scen
20,ht_chantry.map,PIBTOLD,1,1706,178,4,1000,ht_chantry-random-5.scen
60,ht_chantry.map,PIBT,1,6035,192,13,0,ht_chantry-random-5.scen
60,ht_chantry.map,PIBTOLD,1,6035,192,12,0,ht_chantry-random-5.scen
60,ht_chantry.map,PIBT,1,6021,194,13,1,ht_chantry-random-5.scen
60,ht_chantry.map,PIBTOLD,1,6035,192,12,1,ht_chantry-random-5.scen
60,ht_chantry.map,PIBT,1,6021,194,13,10,ht_chantry-random-5.scen
60,ht_chantry.map,PIBTOLD,1,6035,192,12,10,ht_chantry-random-5.scen
60,ht_chantry.map,PIBT,1,6021,194,13,100,ht_chantry-random-5.scen
60,ht_chantry.map,PIBTOLD,1,6035,192,12,100,ht_chantry-random-5.scen
60,ht_chantry.map,PIBT,1,6021,194,13,1000,ht_chantry-random-5.scen
60,ht_chantry.map,PIBTOLD,1,6035,192,11,1000,ht_chantry-random-5.scen
100,ht_chantry.map,PIBT,1,10457,192,21,0,ht_chantry-random-5.scen
100,ht_chantry.map,PIBTOLD,1,10457,192,19,0,ht_chantry-random-5.scen
100,ht_chantry.map,PIBT,1,10303,194,21,1,ht_chantry-random-5.scen
100,ht_chantry.map,PIBTOLD,1,10457,192,19,1,ht_chantry-random-5.scen
100,ht_chantry.map,PIBT,1,10303,194,21,10,ht_chantry-random-5.scen
100,ht_chantry.map,PIBTOLD,1,10457,192,19,10,ht_chantry-random-5.scen
100,ht_chantry.map,PIBT,1,10303,194,22,100,ht_chantry-random-5.scen
100,ht_chantry.map,PIBTOLD,1,10457,192,20,100,ht_chantry-random-5.scen
100,ht_chantry.map,PIBT,1,10303,194,22,1000,ht_chantry-random-5.scen
100,ht_chantry.map,PIBTOLD,1,10457,192,19,1000,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,15141,226,32,0,ht_chantry-random-5.scen
140,ht_chantry.map,PIBTOLD,1,15141,226,30,0,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14734,194,33,1,ht_chantry-random-5.scen
140,ht_chantry.map,PIBTOLD,1,15141,226,25,1,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14618,195,38,10,ht_chantry-random-5.scen
140,ht_chantry.map,PIBTOLD,1,15141,226,28,10,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14618,195,37,100,ht_chantry-random-5.scen
140,ht_chantry.map,PIBTOLD,1,15141,226,28,100,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14618,195,37,1000,ht_chantry-random-5.scen
140,ht_chantry.map,PIBTOLD,1,15141,226,27,1000,ht_chantry-random-5.scen
180,ht_chantry.map,PIBT,1,20483,203,38,0,ht_chantry-random-5.scen
180,ht_chantry.map,PIBTOLD,1,20483,203,35,0,ht_chantry-random-5.scen
180,ht_chantry.map,PIBT,1,19884,192,52,1,ht_chantry-random-5.scen
180,ht_chantry.map,PIBTOLD,1,20483,203,34,1,ht_chantry-random-5.scen
180,ht_chantry.map,PIBT,1,20088,194,63,10,ht_chantry-random-5.scen
180,ht_chantry.map,PIBTOLD,1,20483,203,34,10,ht_chantry-random-5.scen
180,ht_chantry.map,PIBT,1,20088,194,65,100,ht_chantry-random-5.scen
180,ht_chantry.map,PIBTOLD,1,20483,203,35,100,ht_chantry-random-5.scen
180,ht_chantry.map,PIBT,1,20088,194,60,1000,ht_chantry-random-5.scen
180,ht_chantry.map,PIBTOLD,1,20483,203,36,1000,ht_chantry-random-5.scen
220,ht_chantry.map,PIBT,1,25933,192,52,0,ht_chantry-random-5.scen
220,ht_chantry.map,PIBTOLD,1,25933,192,43,0,ht_chantry-random-5.scen
220,ht_chantry.map,PIBT,1,24950,194,80,1,ht_chantry-random-5.scen
220,ht_chantry.map,PIBTOLD,1,25933,192,43,1,ht_chantry-random-5.scen
