agents,map_file,solver,solved,soc,makespan,comp_time,Opti_Deadline,Scenario_File
20,warehouse-10-20-10-2-1.map,PIBT,1,1727,162,4,0,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,0,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,1,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,1,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,10,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,10,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,4,100,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,100,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,170,3,1000,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,162,3,1000,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,1,6061,192,10,0,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,0,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,100000,2874,1,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,15,1,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,100000,2850,10,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,10,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,100000,2863,100,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,100,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,100000,2872,1000,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,192,9,1000,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,410642,100000,3975,0,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,3117,0,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,100000,5050,1,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,3020,1,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,100000,4892,10,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,2876,10,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,100000,4916,100,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,3068,100,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,100000,4927,1000,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,100000,2973,1000,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,815517,100000,5697,0,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3773,0,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,215436,100000,7502,1,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3885,1,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,215436,100000,7240,10,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3824,10,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,215436,100000,7337,100,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3787,100,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,215436,100000,7368,1000,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,100000,3829,1000,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,920025,100000,7321,0,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4583,0,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,419990,100000,8469,1,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4592,1,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,419990,100000,8459,10,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4856,10,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,419990,100000,8490,100,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4673,100,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBT,0,419990,100000,8518,1000,warehouse-10-20-10-2-1-random-16.scen
180,warehouse-10-20-10-2-1.map,PIBTOLD,0,920025,100000,4589,1000,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,1025739,100000,9471,0,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5469,0,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBT,0,227604,100000,10758,1,warehouse-10-20-10-2-1-random-16.scen
220,warehouse-10-20-10-2-1.map,PIBTOLD,0,1025739,100000,5432,1,warehouse-10-20-10-2-1-random-16.scen
