agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,warehouse-10-20-10-2-1.map,PIBT,1,1727,1604,162,162,3,0,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,1604,162,162,3,0,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,1604,170,162,3,1,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,1604,162,162,3,1,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,1604,170,162,3,10,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,1604,162,162,3,10,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,1604,170,162,3,100,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,1604,162,162,3,100,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1690,1604,170,162,3,1000,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1727,1604,162,162,3,1000,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,1,6061,5198,192,185,9,0,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,5198,192,185,8,0,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,5198,100000,185,2470,1,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,5198,192,185,8,1,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,5198,100000,185,2425,10,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,5198,192,185,8,10,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,5198,100000,185,2404,100,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,5198,192,185,9,100,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBT,0,5909,5198,100000,185,2457,1000,warehouse-10-20-10-2-1-random-16.scen
60,warehouse-10-20-10-2-1.map,PIBTOLD,1,6061,5198,192,185,9,1000,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,410642,8626,100000,185,3622,0,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,8626,100000,185,2692,0,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,8626,100000,185,4673,1,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,8626,100000,185,2639,1,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,8626,100000,185,4558,10,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,8626,100000,185,2600,10,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,8626,100000,185,4550,100,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,8626,100000,185,2585,100,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBT,0,209851,8626,100000,185,4587,1000,warehouse-10-20-10-2-1-random-16.scen
100,warehouse-10-20-10-2-1.map,PIBTOLD,0,410642,8626,100000,185,2616,1000,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,815517,12220,100000,185,5373,0,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,12220,100000,185,3432,0,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBT,0,376305,12220,100000,185,6981,1,warehouse-10-20-10-2-1-random-16.scen
140,warehouse-10-20-10-2-1.map,PIBTOLD,0,815517,12220,100000,185,3400,1,warehouse-10-20-10-2-1-random-16.scen
