agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,random-32-32-20.map,PIBT,1,577,505,42,42,0,0,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,1,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,4,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,16,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,64,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,1,256,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBTOLD,1,577,505,42,42,0,0,random-32-32-20-random-3.scen
80,random-32-32-20.map,PIBT,1,2395,1951,54,54,3,0,random-32-32-20-random-3.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,1,random-32-32-20-random-3.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,4,random-32-32-20-random-3.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,16,random-32-32-20-random-3.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,64,random-32-32-20-random-3.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,256,random-32-32-20-random-3.scen
80,random-32-32-20.map,PIBTOLD,1,2395,1951,54,54,2,0,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,1,5501,3549,71,59,6,0,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5314,3549,100000,59,9256,1,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5094,3549,100000,59,6891,4,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5170,3549,100000,59,6845,16,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5197,3549,100000,59,6813,64,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBT,0,5073,3549,100000,59,9711,256,random-32-32-20-random-3.scen
140,random-32-32-20.map,PIBTOLD,1,5501,3549,71,59,5,0,random-32-32-20-random-3.scen
200,random-32-32-20.map,PIBT,0,208660,4803,100000,59,8656,0,random-32-32-20-random-3.scen
200,random-32-32-20.map,PIBT,0,8447,4803,100000,59,12474,1,random-32-32-20-random-3.scen
200,random-32-32-20.map,PIBT,0,8443,4803,100000,59,13216,4,random-32-32-20-random-3.scen
200,random-32-32-20.map,PIBT,0,208726,4803,100000,59,11790,16,random-32-32-20-random-3.scen
200,random-32-32-20.map,PIBT,0,8304,4803,100000,59,14406,64,random-32-32-20-random-3.scen
200,random-32-32-20.map,PIBT,0,8529,4803,100000,59,19622,256,random-32-32-20-random-3.scen
200,random-32-32-20.map,PIBTOLD,0,208660,4803,100000,59,5160,0,random-32-32-20-random-3.scen
260,random-32-32-20.map,PIBT,0,1013296,6336,100000,59,12101,0,random-32-32-20-random-3.scen
260,random-32-32-20.map,PIBT,0,613234,6336,100000,59,17127,1,random-32-32-20-random-3.scen
260,random-32-32-20.map,PIBT,0,213436,6336,100000,59,15645,4,random-32-32-20-random-3.scen
260,random-32-32-20.map,PIBT,0,13649,6336,100000,59,16769,16,random-32-32-20-random-3.scen
260,random-32-32-20.map,PIBT,0,613538,6336,100000,59,20883,64,random-32-32-20-random-3.scen
260,random-32-32-20.map,PIBT,0,613461,6336,100000,59,25873,256,random-32-32-20-random-3.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,6336,100000,59,6778,0,random-32-32-20-random-3.scen
320,random-32-32-20.map,PIBT,0,720196,7549,100000,59,16429,0,random-32-32-20-random-3.scen
320,random-32-32-20.map,PIBT,0,417948,7549,100000,59,29681,1,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,577,505,42,42,0,0,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,1,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,4,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,16,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,64,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,256,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBTOLD,1,577,505,42,42,0,0,random-32-32-20-random-2.scen
80,random-32-32-20.map,PIBT,1,2395,1951,54,54,2,0,random-32-32-20-random-2.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,1,random-32-32-20-random-2.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,4,random-32-32-20-random-2.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,4,16,random-32-32-20-random-2.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,64,random-32-32-20-random-2.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,256,random-32-32-20-random-2.scen
80,random-32-32-20.map,PIBTOLD,1,2395,1951,54,54,2,0,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,1,5501,3549,71,59,6,0,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,5180,3549,100000,59,6737,1,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,5081,3549,100000,59,6133,4,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,5227,3549,100000,59,6846,16,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,4984,3549,100000,59,7365,64,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBT,0,5107,3549,100000,59,10683,256,random-32-32-20-random-2.scen
140,random-32-32-20.map,PIBTOLD,1,5501,3549,71,59,4,0,random-32-32-20-random-2.scen
200,random-32-32-20.map,PIBT,0,208660,4803,100000,59,8437,0,random-32-32-20-random-2.scen
200,random-32-32-20.map,PIBT,0,8784,4803,100000,59,10953,1,random-32-32-20-random-2.scen
200,random-32-32-20.map,PIBT,0,208371,4803,100000,59,9361,4,random-32-32-20-random-2.scen
200,random-32-32-20.map,PIBT,0,207907,4803,100000,59,21238,16,random-32-32-20-random-2.scen
200,random-32-32-20.map,PIBT,0,8486,4803,100000,59,13673,64,random-32-32-20-random-2.scen
200,random-32-32-20.map,PIBT,0,8382,4803,100000,59,17707,256,random-32-32-20-random-2.scen
200,random-32-32-20.map,PIBTOLD,0,208660,4803,100000,59,4999,0,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,1013296,6336,100000,59,11812,0,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,213435,6336,100000,59,16858,1,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,212704,6336,100000,59,16133,4,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,212965,6336,100000,59,15379,16,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,13350,6336,100000,59,33156,64,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBT,0,212743,6336,100000,59,29082,256,random-32-32-20-random-2.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,6336,100000,59,6488,0,random-32-32-20-random-2.scen
320,random-32-32-20.map,PIBT,0,720196,7549,100000,59,16620,0,random-32-32-20-random-2.scen
320,random-32-32-20.map,PIBT,0,619252,7549,100000,59,30791,1,random-32-32-20-random-2.scen
320,random-32-32-20.map,PIBT,0,217598,7549,100000,59,27250,4,random-32-32-20-random-2.scen
320,random-32-32-20.map,PIBT,0,218980,7549,100000,59,24469,16,random-32-32-20-random-2.scen
320,random-32-32-20.map,PIBT,0,219779,7549,100000,59,27920,64,random-32-32-20-random-2.scen
20,random-32-32-20.map,PIBT,1,577,505,42,42,0,0,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,1,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,4,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,16,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,64,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,256,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBTOLD,1,577,505,42,42,0,0,random-32-32-20-random-24.scen
80,random-32-32-20.map,PIBT,1,2395,1951,54,54,2,0,random-32-32-20-random-24.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,1,random-32-32-20-random-24.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,4,random-32-32-20-random-24.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,16,random-32-32-20-random-24.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,64,random-32-32-20-random-24.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,256,random-32-32-20-random-24.scen
80,random-32-32-20.map,PIBTOLD,1,2395,1951,54,54,2,0,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,1,5501,3549,71,59,6,0,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,0,5139,3549,100000,59,6598,1,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,0,5137,3549,100000,59,6132,4,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,0,5301,3549,100000,59,6581,16,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,0,5073,3549,100000,59,7126,64,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBT,0,5113,3549,100000,59,13033,256,random-32-32-20-random-24.scen
140,random-32-32-20.map,PIBTOLD,1,5501,3549,71,59,4,0,random-32-32-20-random-24.scen
200,random-32-32-20.map,PIBT,0,208660,4803,100000,59,8457,0,random-32-32-20-random-24.scen
200,random-32-32-20.map,PIBT,0,208552,4803,100000,59,8826,1,random-32-32-20-random-24.scen
200,random-32-32-20.map,PIBT,0,208467,4803,100000,59,11015,4,random-32-32-20-random-24.scen
200,random-32-32-20.map,PIBT,0,208219,4803,100000,59,10979,16,random-32-32-20-random-24.scen
200,random-32-32-20.map,PIBT,0,208374,4803,100000,59,16991,64,random-32-32-20-random-24.scen
200,random-32-32-20.map,PIBT,0,208209,4803,100000,59,17894,256,random-32-32-20-random-24.scen
200,random-32-32-20.map,PIBTOLD,0,208660,4803,100000,59,5016,0,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,1013296,6336,100000,59,11949,0,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,13281,6336,100000,59,20656,1,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,13731,6336,100000,59,14514,4,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,13805,6336,100000,59,15349,16,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,13232,6336,100000,59,18483,64,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBT,0,213496,6336,100000,59,26610,256,random-32-32-20-random-24.scen
260,random-32-32-20.map,PIBTOLD,0,1013296,6336,100000,59,6455,0,random-32-32-20-random-24.scen
320,random-32-32-20.map,PIBT,0,720196,7549,100000,59,16472,0,random-32-32-20-random-24.scen
320,random-32-32-20.map,PIBT,0,418293,7549,100000,59,30508,1,random-32-32-20-random-24.scen
320,random-32-32-20.map,PIBT,0,418449,7549,100000,59,36615,4,random-32-32-20-random-24.scen
320,random-32-32-20.map,PIBT,0,218190,7549,100000,59,30088,16,random-32-32-20-random-24.scen
320,random-32-32-20.map,PIBT,0,219117,7549,100000,59,29525,64,random-32-32-20-random-24.scen
320,random-32-32-20.map,PIBT,0,218674,7549,100000,59,39537,256,random-32-32-20-random-24.scen
320,random-32-32-20.map,PIBTOLD,0,720196,7549,100000,59,7631,0,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,577,505,42,42,0,0,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,1,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,4,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,16,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,64,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,566,505,42,42,0,256,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBTOLD,1,577,505,42,42,0,0,random-32-32-20-random-4.scen
80,random-32-32-20.map,PIBT,1,2395,1951,54,54,3,0,random-32-32-20-random-4.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,1,random-32-32-20-random-4.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,4,random-32-32-20-random-4.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,16,random-32-32-20-random-4.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,3,64,random-32-32-20-random-4.scen
80,random-32-32-20.map,PIBT,1,2374,1951,54,54,4,256,random-32-32-20-random-4.scen
80,random-32-32-20.map,PIBTOLD,1,2395,1951,54,54,2,0,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,1,5501,3549,71,59,6,0,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,5444,3549,100000,59,7083,1,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,5171,3549,100000,59,6415,4,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,5269,3549,100000,59,6438,16,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,205055,3549,100000,59,7356,64,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBT,0,5185,3549,100000,59,8813,256,random-32-32-20-random-4.scen
140,random-32-32-20.map,PIBTOLD,1,5501,3549,71,59,4,0,random-32-32-20-random-4.scen
200,random-32-32-20.map,PIBT,0,208660,4803,100000,59,8443,0,random-32-32-20-random-4.scen
200,random-32-32-20.map,PIBT,0,8425,4803,100000,59,10141,1,random-32-32-20-random-4.scen
200,random-32-32-20.map,PIBT,0,208415,4803,100000,59,11943,4,random-32-32-20-random-4.scen
200,random-32-32-20.map,PIBT,0,8711,4803,100000,59,10956,16,random-32-32-20-random-4.scen
200,random-32-32-20.map,PIBT,0,8336,4803,100000,59,11463,64,random-32-32-20-random-4.scen
200,random-32-32-20.map,PIBT,0,8263,4803,100000,59,16875,256,random-32-32-20-random-4.scen
200,random-32-32-20.map,PIBTOLD,0,208660,4803,100000,59,5112,0,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBT,0,1013296,6336,100000,59,11900,0,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBT,0,13342,6336,100000,59,13990,1,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBT,0,213213,6336,100000,59,15592,4,random-32-32-20-random-4.scen
260,random-32-32-20.map,PIBT,0,13822,6336,100000,59,18660,16,random-32-32-20-random-4.scen
