agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,den520d.map,PIBT,1,4336,4331,374,374,13,0,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,4331,374,374,14,1,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,4331,374,374,16,4,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,4331,374,374,14,16,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,4331,374,374,15,64,den520d-random-17.scen
20,den520d.map,PIBT,1,4529,4331,374,374,13,256,den520d-random-17.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,13,0,den520d-random-17.scen
140,den520d.map,PIBT,1,26667,25347,394,394,102,0,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,25347,394,394,98,1,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,25347,394,394,105,4,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,25347,394,394,98,16,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,25347,394,394,106,64,den520d-random-17.scen
140,den520d.map,PIBT,1,26900,25347,394,394,103,256,den520d-random-17.scen
140,den520d.map,PIBTOLD,1,26667,25347,394,394,91,0,den520d-random-17.scen
260,den520d.map,PIBT,1,53957,48546,404,404,198,0,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,48546,404,404,198,1,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,48546,404,404,200,4,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,48546,404,404,206,16,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,48546,404,404,205,64,den520d-random-17.scen
260,den520d.map,PIBT,1,53369,48546,404,404,195,256,den520d-random-17.scen
260,den520d.map,PIBTOLD,1,53957,48546,404,404,162,0,den520d-random-17.scen
380,den520d.map,PIBT,1,80144,70039,404,404,317,0,den520d-random-17.scen
380,den520d.map,PIBT,1,79218,70039,404,404,315,1,den520d-random-17.scen
380,den520d.map,PIBT,1,78764,70039,404,404,320,4,den520d-random-17.scen
380,den520d.map,PIBT,1,78848,70039,404,404,351,16,den520d-random-17.scen
380,den520d.map,PIBT,1,78848,70039,404,404,338,64,den520d-random-17.scen
380,den520d.map,PIBT,1,78848,70039,404,404,356,256,den520d-random-17.scen
380,den520d.map,PIBTOLD,1,80144,70039,404,404,270,0,den520d-random-17.scen
500,den520d.map,PIBT,1,108455,92637,404,404,441,0,den520d-random-17.scen
500,den520d.map,PIBT,1,106970,92637,408,404,486,1,den520d-random-17.scen
500,den520d.map,PIBT,1,107911,92637,405,404,552,4,den520d-random-17.scen
500,den520d.map,PIBT,1,107229,92637,404,404,793,16,den520d-random-17.scen
500,den520d.map,PIBT,1,108172,92637,406,404,1534,64,den520d-random-17.scen
500,den520d.map,PIBT,1,107382,92637,406,404,2117,256,den520d-random-17.scen
500,den520d.map,PIBTOLD,1,108455,92637,404,404,343,0,den520d-random-17.scen
620,den520d.map,PIBT,1,134965,112829,405,405,566,0,den520d-random-17.scen
620,den520d.map,PIBT,1,133654,112829,414,405,611,1,den520d-random-17.scen
620,den520d.map,PIBT,1,133629,112829,408,405,749,4,den520d-random-17.scen
620,den520d.map,PIBT,1,133932,112829,406,405,1057,16,den520d-random-17.scen
620,den520d.map,PIBT,1,134259,112829,405,405,2240,64,den520d-random-17.scen
620,den520d.map,PIBT,1,133569,112829,418,405,4416,256,den520d-random-17.scen
620,den520d.map,PIBTOLD,1,134965,112829,405,405,429,0,den520d-random-17.scen
740,den520d.map,PIBT,1,161627,133593,405,405,734,0,den520d-random-17.scen
740,den520d.map,PIBT,1,160446,133593,407,405,793,1,den520d-random-17.scen
740,den520d.map,PIBT,1,161806,133593,411,405,1012,4,den520d-random-17.scen
740,den520d.map,PIBT,1,160671,133593,406,405,1621,16,den520d-random-17.scen
740,den520d.map,PIBT,1,159976,133593,409,405,3671,64,den520d-random-17.scen
740,den520d.map,PIBT,1,161647,133593,405,405,12643,256,den520d-random-17.scen
740,den520d.map,PIBTOLD,1,161627,133593,405,405,522,0,den520d-random-17.scen
860,den520d.map,PIBT,1,193113,155263,413,413,932,0,den520d-random-17.scen
860,den520d.map,PIBT,1,191035,155263,416,413,993,1,den520d-random-17.scen
860,den520d.map,PIBT,1,190817,155263,415,413,1260,4,den520d-random-17.scen
860,den520d.map,PIBT,1,191477,155263,413,413,2199,16,den520d-random-17.scen
860,den520d.map,PIBT,1,190533,155263,413,413,5367,64,den520d-random-17.scen
860,den520d.map,PIBT,1,190557,155263,415,413,21179,256,den520d-random-17.scen
860,den520d.map,PIBTOLD,1,193113,155263,413,413,617,0,den520d-random-17.scen
980,den520d.map,PIBT,1,222466,177765,413,413,1058,0,den520d-random-17.scen
980,den520d.map,PIBT,1,222720,177765,413,413,1150,1,den520d-random-17.scen
980,den520d.map,PIBT,1,222384,177765,413,413,1509,4,den520d-random-17.scen
980,den520d.map,PIBT,1,222861,177765,413,413,2847,16,den520d-random-17.scen
980,den520d.map,PIBT,1,222875,177765,414,413,7737,64,den520d-random-17.scen
980,den520d.map,PIBT,1,222187,177765,413,413,21699,256,den520d-random-17.scen
980,den520d.map,PIBTOLD,1,222466,177765,413,413,701,0,den520d-random-17.scen
20,den520d.map,PIBT,1,4336,4331,374,374,14,0,den520d-random-2.scen
20,den520d.map,PIBT,1,4529,4331,374,374,16,1,den520d-random-2.scen
20,den520d.map,PIBT,1,4529,4331,374,374,14,4,den520d-random-2.scen
20,den520d.map,PIBT,1,4529,4331,374,374,17,16,den520d-random-2.scen
20,den520d.map,PIBT,1,4529,4331,374,374,14,64,den520d-random-2.scen
20,den520d.map,PIBT,1,4529,4331,374,374,14,256,den520d-random-2.scen
20,den520d.map,PIBTOLD,1,4336,4331,374,374,15,0,den520d-random-2.scen
140,den520d.map,PIBT,1,26667,25347,394,394,108,0,den520d-random-2.scen
140,den520d.map,PIBT,1,26900,25347,394,394,104,1,den520d-random-2.scen
140,den520d.map,PIBT,1,26900,25347,394,394,105,4,den520d-random-2.scen
140,den520d.map,PIBT,1,26900,25347,394,394,108,16,den520d-random-2.scen
140,den520d.map,PIBT,1,26900,25347,394,394,106,64,den520d-random-2.scen
140,den520d.map,PIBT,1,26900,25347,394,394,102,256,den520d-random-2.scen
140,den520d.map,PIBTOLD,1,26667,25347,394,394,90,0,den520d-random-2.scen
260,den520d.map,PIBT,1,53957,48546,404,404,198,0,den520d-random-2.scen
260,den520d.map,PIBT,1,53369,48546,404,404,207,1,den520d-random-2.scen
260,den520d.map,PIBT,1,53369,48546,404,404,204,4,den520d-random-2.scen
260,den520d.map,PIBT,1,53369,48546,404,404,201,16,den520d-random-2.scen
260,den520d.map,PIBT,1,53369,48546,404,404,209,64,den520d-random-2.scen
260,den520d.map,PIBT,1,53369,48546,404,404,208,256,den520d-random-2.scen
260,den520d.map,PIBTOLD,1,53957,48546,404,404,185,0,den520d-random-2.scen
380,den520d.map,PIBT,1,80144,70039,404,404,312,0,den520d-random-2.scen
380,den520d.map,PIBT,1,78625,70039,404,404,314,1,den520d-random-2.scen
380,den520d.map,PIBT,1,79362,70039,404,404,314,4,den520d-random-2.scen
380,den520d.map,PIBT,1,78848,70039,404,404,339,16,den520d-random-2.scen
380,den520d.map,PIBT,1,78848,70039,404,404,336,64,den520d-random-2.scen
