agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,ht_chantry.map,PIBT,1,1706,1693,178,178,5,0,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,1693,178,178,5,1,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,1693,178,178,5,4,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,1693,178,178,5,16,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,1693,178,178,5,64,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,1708,1693,178,178,5,256,ht_chantry-random-5.scen
20,ht_chantry.map,PIBTOLD,1,1706,1693,178,178,5,0,ht_chantry-random-5.scen
80,ht_chantry.map,PIBT,1,8250,7149,206,192,18,0,ht_chantry-random-5.scen
80,ht_chantry.map,PIBT,1,8219,7149,194,192,18,1,ht_chantry-random-5.scen
80,ht_chantry.map,PIBT,1,8219,7149,194,192,18,4,ht_chantry-random-5.scen
80,ht_chantry.map,PIBT,1,8219,7149,194,192,19,16,ht_chantry-random-5.scen
80,ht_chantry.map,PIBT,1,8219,7149,194,192,19,64,ht_chantry-random-5.scen
80,ht_chantry.map,PIBT,1,8219,7149,194,192,17,256,ht_chantry-random-5.scen
80,ht_chantry.map,PIBTOLD,1,8250,7149,206,192,16,0,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,15141,12427,226,192,32,0,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14356,12427,197,192,33,1,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14618,12427,195,192,34,4,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14618,12427,195,192,35,16,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14618,12427,195,192,37,64,ht_chantry-random-5.scen
140,ht_chantry.map,PIBT,1,14618,12427,195,192,34,256,ht_chantry-random-5.scen
140,ht_chantry.map,PIBTOLD,1,15141,12427,226,192,31,0,ht_chantry-random-5.scen
