agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-4.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,1,1000,random-32-32-20-random-14.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-14.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,1,1000,random-32-32-20-random-22.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-22.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-7.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-7.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-5.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-5.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-6.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-6.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-19.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-19.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-13.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-13.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-8.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-8.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-1.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-11.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-11.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-3.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-20.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-20.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-25.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-25.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-12.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-12.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-24.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-17.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-17.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-9.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-9.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-10.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-10.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-16.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-16.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-23.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-23.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-15.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-15.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-18.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-18.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-21.scen
20,random-32-32-20.map,PIBTOLD,1,522,466,49,49,0,0,random-32-32-20-random-21.scen
20,random-32-32-20.map,PIBT,1,541,466,49,49,0,1000,random-32-32-20-random-2.scen
