agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,den520d.map,PIBT,1,4337,4332,374,374,5,1000,den520d-random-12.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-12.scen
20,den520d.map,PIBT,1,4337,4332,374,374,6,1000,den520d-random-7.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-7.scen
20,den520d.map,PIBT,1,4337,4332,374,374,8,1000,den520d-random-19.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,10,0,den520d-random-19.scen
20,den520d.map,PIBT,1,4337,4332,374,374,7,1000,den520d-random-15.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-15.scen
20,den520d.map,PIBT,1,4337,4332,374,374,6,1000,den520d-random-23.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,11,0,den520d-random-23.scen
20,den520d.map,PIBT,1,4337,4332,374,374,7,1000,den520d-random-17.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,6,0,den520d-random-17.scen
20,den520d.map,PIBT,1,4337,4332,374,374,10,1000,den520d-random-4.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-4.scen
20,den520d.map,PIBT,1,4337,4332,374,374,13,1000,den520d-random-25.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,7,0,den520d-random-25.scen
20,den520d.map,PIBT,1,4337,4332,374,374,7,1000,den520d-random-3.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-3.scen
20,den520d.map,PIBT,1,4337,4332,374,374,12,1000,den520d-random-6.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,10,0,den520d-random-6.scen
20,den520d.map,PIBT,1,4337,4332,374,374,8,1000,den520d-random-24.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-24.scen
20,den520d.map,PIBT,1,4337,4332,374,374,12,1000,den520d-random-22.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,11,0,den520d-random-22.scen
20,den520d.map,PIBT,1,4337,4332,374,374,17,1000,den520d-random-21.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,7,0,den520d-random-21.scen
20,den520d.map,PIBT,1,4337,4332,374,374,14,1000,den520d-random-13.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-13.scen
20,den520d.map,PIBT,1,4337,4332,374,374,7,1000,den520d-random-8.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,7,0,den520d-random-8.scen
20,den520d.map,PIBT,1,4337,4332,374,374,16,1000,den520d-random-16.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,7,0,den520d-random-16.scen
20,den520d.map,PIBT,1,4337,4332,374,374,17,1000,den520d-random-11.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-11.scen
20,den520d.map,PIBT,1,4337,4332,374,374,9,1000,den520d-random-20.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,13,0,den520d-random-20.scen
20,den520d.map,PIBT,1,4337,4332,374,374,7,1000,den520d-random-1.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-1.scen
20,den520d.map,PIBT,1,4337,4332,374,374,9,1000,den520d-random-9.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,22,0,den520d-random-9.scen
20,den520d.map,PIBT,1,4337,4332,374,374,7,1000,den520d-random-5.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,7,0,den520d-random-5.scen
20,den520d.map,PIBT,1,4337,4332,374,374,8,1000,den520d-random-14.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-14.scen
20,den520d.map,PIBT,1,4337,4332,374,374,16,1000,den520d-random-2.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-2.scen
20,den520d.map,PIBT,1,4337,4332,374,374,17,1000,den520d-random-10.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,16,0,den520d-random-10.scen
20,den520d.map,PIBT,1,4337,4332,374,374,8,1000,den520d-random-18.scen
20,den520d.map,PIBTOLD,1,4337,4332,374,374,8,0,den520d-random-18.scen
60,den520d.map,PIBT,1,11460,10832,374,374,28,1000,den520d-random-12.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,22,0,den520d-random-12.scen
60,den520d.map,PIBT,1,11460,10832,374,374,25,1000,den520d-random-7.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,33,0,den520d-random-7.scen
60,den520d.map,PIBT,1,11460,10832,374,374,23,1000,den520d-random-19.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,36,0,den520d-random-19.scen
60,den520d.map,PIBT,1,11460,10832,374,374,26,1000,den520d-random-15.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,28,0,den520d-random-15.scen
60,den520d.map,PIBT,1,11460,10832,374,374,28,1000,den520d-random-23.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,28,0,den520d-random-23.scen
60,den520d.map,PIBT,1,11460,10832,374,374,23,1000,den520d-random-17.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,30,0,den520d-random-17.scen
60,den520d.map,PIBT,1,11460,10832,374,374,24,1000,den520d-random-4.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,35,0,den520d-random-4.scen
60,den520d.map,PIBT,1,11460,10832,374,374,24,1000,den520d-random-25.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,26,0,den520d-random-25.scen
60,den520d.map,PIBT,1,11460,10832,374,374,26,1000,den520d-random-3.scen
60,den520d.map,PIBTOLD,1,11367,10832,374,374,33,0,den520d-random-3.scen
60,den520d.map,PIBT,1,11460,10832,374,374,21,1000,den520d-random-6.scen
