agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,ht_chantry.map,PIBT,1,2273,2154,188,188,3,1000,ht_chantry-random-22.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,4,0,ht_chantry-random-22.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,1,1000,ht_chantry-random-9.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,3,0,ht_chantry-random-9.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,1,1000,ht_chantry-random-8.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,4,0,ht_chantry-random-8.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,1,1000,ht_chantry-random-17.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,5,0,ht_chantry-random-17.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,3,1000,ht_chantry-random-20.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,2,0,ht_chantry-random-20.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,3,1000,ht_chantry-random-5.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,3,0,ht_chantry-random-5.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,3,1000,ht_chantry-random-16.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,2,0,ht_chantry-random-16.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,2,1000,ht_chantry-random-25.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,5,0,ht_chantry-random-25.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,3,1000,ht_chantry-random-1.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,4,0,ht_chantry-random-1.scen
20,ht_chantry.map,PIBT,1,2273,2154,188,188,4,1000,ht_chantry-random-4.scen
20,ht_chantry.map,PIBTOLD,1,2284,2154,188,188,2,0,ht_chantry-random-4.scen
