agents,map_file,solver,solved,soc,lb_soc,makespan,lb_makespan,comp_time,Opti_Deadline,Scenario_File
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,1,1000,warehouse-10-20-10-2-1-random-14.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,1,0,warehouse-10-20-10-2-1-random-14.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,2,1000,warehouse-10-20-10-2-1-random-23.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,1,0,warehouse-10-20-10-2-1-random-23.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,1,1000,warehouse-10-20-10-2-1-random-5.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,3,0,warehouse-10-20-10-2-1-random-5.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,1,1000,warehouse-10-20-10-2-1-random-1.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,3,0,warehouse-10-20-10-2-1-random-1.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,2,1000,warehouse-10-20-10-2-1-random-3.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,2,0,warehouse-10-20-10-2-1-random-3.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,2,1000,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,1,0,warehouse-10-20-10-2-1-random-16.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,2,1000,warehouse-10-20-10-2-1-random-7.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,1,0,warehouse-10-20-10-2-1-random-7.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,2,1000,warehouse-10-20-10-2-1-random-19.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,2,0,warehouse-10-20-10-2-1-random-19.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,1,1000,warehouse-10-20-10-2-1-random-15.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,1,0,warehouse-10-20-10-2-1-random-15.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,2,1000,warehouse-10-20-10-2-1-random-10.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,3,0,warehouse-10-20-10-2-1-random-10.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,1,1000,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,1,0,warehouse-10-20-10-2-1-random-17.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,2,1000,warehouse-10-20-10-2-1-random-12.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,2,0,warehouse-10-20-10-2-1-random-12.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,3,1000,warehouse-10-20-10-2-1-random-6.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,2,0,warehouse-10-20-10-2-1-random-6.scen
20,warehouse-10-20-10-2-1.map,PIBT,1,1803,1476,163,163,2,1000,warehouse-10-20-10-2-1-random-9.scen
20,warehouse-10-20-10-2-1.map,PIBTOLD,1,1803,1476,163,163,2,0,warehouse-10-20-10-2-1-random-9.scen
