## ==== necessary ====
## .map file, put your maps in /map folder
map_file=den520d.map
## map_file=den520d.map

## number of agents
agents=220

## ==== custom =======
## seed of randomization
seed=6

## true  -> random starts/goals
## false -> use custom starts/goals
random_problem=0

## timestep limit
max_timestep=100000

## computation time limit, ms
max_comp_time=60000

## custom starts/goals
## invalid when random_problem=1 or scen_file exists
## (x_s, y_s, x_g, y_g)
## (0, 0): left-top corner
# 0,0,4,0


200,42,84,147
212,83,214,43
122,117,213,131
64,146,137,46
166,164,151,163
92,150,116,116
36,168,137,157
85,229,80,223
137,167,157,41
66,74,231,76
211,208,66,138
104,79,79,215
14,181,156,213
224,185,215,202
59,61,95,157
86,95,125,86
251,19,195,174
75,148,127,214
192,170,127,108
182,156,97,198
129,90,95,153
176,181,223,202
8,141,151,113
109,103,199,73
194,72,164,161
12,164,175,43
210,194,84,42
196,178,118,120
234,129,130,91
143,205,48,60
160,87,66,56
157,174,111,222
69,225,146,94
222,54,169,86
84,185,15,160
21,73,99,227
134,226,223,203
244,100,223,219
136,228,28,156
124,112,130,107
226,76,15,150
171,163,230,212
154,106,108,107
182,121,188,66
37,155,164,21
197,35,188,53
217,122,232,191
170,113,136,97
150,112,156,158
56,182,141,178
68,26,221,110
72,51,136,155
205,189,235,186
90,223,17,154
80,136,92,209
210,58,160,168
34,145,75,140
228,205,162,136
96,225,185,42
103,111,95,87
221,104,69,34
220,183,167,152
225,121,205,37
35,151,215,74
83,175,88,141
26,154,67,199
45,157,221,112
64,50,248,138
205,60,180,99
126,227,91,45
188,84,145,97
93,40,69,206
82,88,220,41
90,97,82,198
193,164,204,32
130,99,58,53
185,155,194,40
74,41,200,195
26,169,81,155
24,145,217,123
168,157,153,27
135,47,103,153
59,60,144,213
224,101,169,121
16,73,211,41
175,125,152,39
166,149,26,155
152,93,110,85
46,156,233,69
226,176,87,103
45,74,242,30
23,166,215,186
231,188,50,169
222,213,244,200
234,51,180,132
219,41,88,80
210,211,88,142
127,32,175,178
8,195,249,19
143,153,65,156
75,36,110,219
160,118,166,96
69,32,15,138
83,95,247,8
19,162,83,184
36,173,18,184
238,37,67,76
65,146,175,104
214,94,122,169
227,207,65,233
227,91,71,94
102,225,85,191
62,166,157,116
174,185,203,60
93,174,123,38
149,110,36,143
37,176,33,146
88,53,15,197
145,206,142,30
104,153,135,99
119,118,190,160
90,183,158,173
35,160,29,75
53,41,127,43
163,116,83,80
139,220,59,82
219,89,104,150
200,188,169,147
217,84,129,58
173,184,47,56
241,76,212,200
39,161,223,76
23,156,30,186
91,143,88,157
105,161,89,107
194,79,131,151
139,38,168,122
160,23,121,159
102,51,147,177
250,139,105,102
247,56,163,98
38,145,186,169
182,157,173,136
222,77,171,145
251,43,64,42
215,201,218,179
64,84,15,196
169,80,132,224
187,85,237,72
129,66,135,172
70,150,228,200
73,200,96,150
205,82,250,45
222,104,172,57
84,85,192,160
91,145,148,169
206,62,191,60
139,232,220,95
235,41,80,53
145,211,105,147
235,8,185,141
103,152,82,45
224,112,175,140
205,201,212,85
96,188,140,97
141,163,90,108
185,74,88,40
171,121,33,184
81,223,227,196
131,232,218,130
39,165,49,60
117,82,242,84
238,87,250,50
239,22,107,115
31,148,14,142
102,44,77,201
42,73,161,161
178,111,76,222
159,127,186,90
142,172,140,232
65,172,146,30
163,154,206,30
90,203,158,22
196,204,134,172
233,117,164,109
168,42,74,164
78,198,136,107
13,192,14,191
125,36,154,120
188,144,82,143
113,89,183,96
130,171,75,180
185,35,74,145
126,157,13,152
97,52,233,115
58,88,52,162
184,170,163,148
161,125,162,18
207,204,154,50
84,89,165,178
117,224,115,218
173,19,17,146
229,85,173,114
243,32,84,51
124,57,119,47
233,55,186,147
157,20,52,153
181,102,77,150
68,192,176,62
240,51,136,46
27,183,237,33
15,143,229,98
226,57,29,169
169,17,197,33
28,183,131,30
161,70,104,104
202,34,220,111
236,101,149,107
220,126,255,148
