## ==== necessary ====
## .map file, put your maps in /map folder
map_file=ht_chantry.map
## map_file=den520d.map

## number of agents
agents=300

## ==== custom =======
## seed of randomization
seed=6

## true  -> random starts/goals
## false -> use custom starts/goals
random_problem=0

## timestep limit
max_timestep=100000

## computation time limit, ms
max_comp_time=60000

## custom starts/goals
## invalid when random_problem=1 or scen_file exists
## (x_s, y_s, x_g, y_g)
## (0, 0): left-top corner
# 0,0,4,0


29,41,40,29
152,69,87,62
36,110,80,131
96,85,82,99
74,47,57,66
87,90,84,127
28,35,58,100
74,49,101,28
61,47,66,88
55,85,109,69
34,108,88,26
100,80,74,111
101,84,102,102
79,29,72,121
52,67,66,116
74,118,56,72
90,61,81,52
74,68,67,52
99,99,27,47
44,103,31,88
31,29,127,58
73,49,64,118
104,71,72,93
78,10,73,122
91,66,51,26
27,91,75,64
89,111,53,66
154,80,27,80
84,85,46,54
34,110,63,28
157,66,69,128
133,62,29,36
118,65,99,48
74,51,69,91
78,66,27,115
29,69,90,25
80,120,50,30
50,19,90,76
134,79,101,86
34,92,77,130
92,39,80,39
92,87,86,66
73,46,28,26
141,71,38,100
99,27,26,41
62,94,63,69
30,89,103,70
77,68,97,81
83,123,147,65
147,72,94,88
70,27,85,38
127,79,97,97
36,26,142,64
74,26,81,21
126,87,46,24
125,87,39,101
59,69,38,39
108,76,36,44
37,29,92,103
59,117,71,101
79,61,145,70
49,117,29,79
85,63,94,101
99,68,50,113
34,88,102,68
104,62,71,111
107,77,51,38
92,61,93,48
81,36,102,64
63,49,47,29
78,99,76,100
122,56,62,77
70,24,51,45
30,47,45,118
90,60,73,130
149,75,47,72
87,111,121,69
59,35,30,51
39,39,60,99
40,88,58,103
124,72,50,23
96,82,129,60
96,112,141,75
78,27,96,116
70,18,109,68
51,115,29,21
96,55,48,72
101,42,70,45
36,42,28,54
34,109,76,109
64,90,97,111
34,87,90,24
84,60,50,14
78,102,53,73
82,86,97,101
99,120,30,79
67,71,154,71
29,37,100,37
94,23,129,79
50,103,59,33
66,99,121,79
100,86,127,73
140,78,77,50
79,89,68,111
77,114,98,111
59,119,41,50
43,25,36,24
58,40,105,74
91,99,107,74
133,74,31,45
74,28,139,69
122,79,156,70
100,98,37,109
92,54,120,65
102,70,63,100
71,48,83,19
71,39,93,57
60,27,86,113
68,37,156,67
103,69,83,24
127,61,71,49
93,79,93,73
53,48,151,62
155,68,126,71
35,101,54,74
130,64,67,89
88,53,146,73
81,108,68,72
74,20,34,49
80,15,53,49
51,14,77,120
89,45,52,57
51,55,99,30
97,103,34,112
97,83,26,68
67,19,77,14
73,133,99,108
26,98,88,30
40,94,137,71
28,27,29,63
68,90,90,65
92,76,43,51
83,69,95,74
31,86,100,82
87,73,74,126
106,67,73,51
81,7,51,31
99,28,58,54
121,68,78,118
69,92,138,65
73,111,74,12
151,71,79,62
64,30,38,95
45,103,45,92
31,46,51,19
93,118,92,116
49,25,61,102
96,57,42,88
54,23,101,99
153,71,73,120
105,77,80,14
102,69,78,60
149,61,129,82
37,100,33,23
76,78,74,5
80,89,119,68
70,76,86,67
136,72,66,73
76,66,122,62
58,93,122,84
89,49,46,75
70,44,64,60
95,99,47,118
49,20,97,113
33,52,28,89
124,54,65,62
47,101,51,32
32,117,51,88
70,121,105,63
54,47,57,51
132,71,69,122
62,116,73,110
64,109,28,91
79,21,111,74
80,91,95,79
81,68,84,22
69,120,93,25
27,89,92,88
68,112,56,84
130,67,66,50
38,31,83,59
81,132,35,24
89,77,28,20
82,103,84,55
44,51,154,65
98,79,84,25
131,85,39,41
44,36,125,67
54,73,40,83
94,63,37,98
87,52,97,120
63,44,34,115
52,37,97,96
78,132,84,17
68,113,117,71
69,76,106,76
29,109,37,41
151,67,73,115
79,17,83,82
61,80,46,65
81,90,62,92
129,56,106,72
131,66,98,30
57,21,51,103
65,76,77,54
32,40,110,72
57,118,98,77
69,50,37,26
64,92,117,75
81,40,99,93
30,27,71,89
66,44,37,111
98,50,54,22
31,102,45,56
90,87,84,46
73,131,41,102
82,121,73,15
86,76,42,63
74,119,68,119
92,20,150,71
48,28,29,76
82,59,93,56
90,73,37,116
64,69,62,93
54,31,100,50
143,69,97,69
58,84,49,100
51,29,61,21
62,21,46,67
94,59,77,67
127,66,68,102
57,110,72,17
45,60,89,102
67,84,121,80
129,66,71,8
58,45,146,75
58,44,42,62
45,27,32,111
77,76,69,117
107,61,111,70
67,36,45,113
76,31,63,37
29,91,115,72
35,94,115,73
44,76,36,112
51,54,74,56
78,90,135,67
62,115,50,32
101,74,41,87
32,50,85,129
128,84,57,26
60,104,101,32
47,99,56,118
42,61,89,54
54,46,88,24
152,66,78,103
83,84,47,70
50,107,88,66
29,78,89,119
86,79,68,18
52,17,71,99
100,32,158,61
135,70,88,22
93,26,148,63
53,74,37,117
85,4,77,129
96,56,155,65
67,85,82,85
156,72,57,63
59,90,98,95
53,27,46,90
115,68,92,64
76,86,69,32
79,99,50,80
106,71,147,76
51,94,96,54
45,47,97,46
149,77,66,121
97,76,59,66
38,89,84,53
43,46,81,65
83,129,61,90
145,67,26,37
88,71,31,101
101,67,39,109
57,71,155,72
82,40,81,17
29,20,79,122
67,88,28,25
